item_id,linear_terms,factors.0,factors.1,factors.2,factors.3,factors.4,factors.5,factors.6,factors.7
124742,1.18695,0.0275676,0.529666,-1.65331,0.807364,0.303809,-0.19723,-0.264643,-0.808668
178210,-0.362347,0.356666,1.61885,0.361824,-0.648785,-0.590599,0.380346,0.37262,-0.431594
10547,0.242592,0.0811657,1.00811,0.719068,0.628789,-0.137571,-0.340534,-0.134294,-0.0286345
1544,0.0925487,1.43245,-0.0475373,-0.220994,0.0640067,0.321584,0.592312,-0.0774354,-0.135453
7623,1.01569,-0.8206,-0.0374658,-0.531758,-1.48681,-0.325915,0.739986,-1.00746,1.38744
50381,-0.18259,1.93706,1.17777,0.955488,-0.18346,-0.185779,-1.56492,0.753497,-0.593209
13,0.884044,0.265833,-0.458837,0.61257,-0.822308,-0.967725,-0.452594,0.388474,-0.847021
815,-0.423485,0.302733,0.598163,0.725457,-0.141187,-0.374996,0.240099,-0.0925633,0.0808734
17226,0.602122,-0.0218143,0.844732,0.0287651,0.672332,-0.307258,0.895791,0.146232,0.00225783
104162,0.830381,0.179778,0.511752,-0.0492342,1.3513,-0.377518,0.134214,-0.393012,-0.85771
146021,0.84706,-0.198547,0.90465,-0.0722701,1.37427,-0.394861,-0.71124,-0.285618,-0.29001
258,-1.00041,0.520638,0.974926,1.52316,-0.0107488,-0.220352,0.537733,0.458762,0.0566022
65244,0.149051,-0.164825,-0.195204,0.404762,0.219714,0.414056,-0.266795,-0.140757,-0.315067
127023,1.2204,0.0634737,-0.281515,-0.556644,0.664411,-0.154293,-0.539565,-0.710949,-0.430074
3699,-1.04829,0.318777,-0.126017,1.5782,0.000872489,-1.34713,0.554168,-1.52448,-0.396026
463,0.672091,0.840688,0.132654,-0.670087,0.463006,0.159968,-0.433789,1.88116,0.296818
25292,0.78348,-0.573661,0.653001,-0.105259,0.42652,-0.352741,-0.462611,-0.177297,0.0291092
13277,-1.64288,1.45006,0.0438214,1.14463,0.53452,-0.354866,1.46106,0.453433,-0.775456
1927,-0.769547,1.03213,1.24954,1.09658,-0.00278932,-1.37968,0.598115,0.200227,-0.601123
386,-1.51347,-0.929693,0.204652,1.44956,0.737888,0.421524,0.110073,0.595135,1.22511
19370,-0.150898,3.06409,-0.725197,1.14658,-0.850707,-2.83676,-0.501087,-2.00627,0.088187
2201,-0.947937,0.317949,-0.450258,1.06497,-0.834233,-0.228613,-1.87891,1.09136,1.20588
3657,-1.17382,-0.291394,-0.517019,0.982074,0.721987,-0.154395,-1.3001,-0.265586,2.43225
181,-1.00401,0.571996,0.521838,0.932517,-0.651065,-0.724961,-0.0815664,0.970593,0.334703
1829,0.18915,0.214,0.730488,0.272491,-0.0538685,-0.494083,0.219696,0.520224,-0.0114098
105134,0.505873,-0.396235,1.25033,-0.627909,0.697429,0.6091,0.0208263,0.704555,-0.748016
4324,-0.899642,-0.671416,0.763862,0.273536,-0.57751,0.0921087,0.817798,0.740197,-0.111369
320,-0.355034,0.778133,-0.441103,0.052937,-0.935841,0.0891094,0.240624,1.13454,0.735965
97786,1.09475,-0.0398275,-0.118271,0.216174,-0.153436,-0.708183,-0.344513,-0.46991,-1.27258
1270,0.329539,1.11124,-0.01778,-0.705676,0.654504,-1.49593,-0.099908,-0.698026,2.03087
1917,-0.613028,-0.0821702,0.383741,0.167013,-0.640493,-0.0949267,0.197332,0.800776,0.727524
12493,1.25643,-0.451522,1.03466,-0.709467,0.62094,-0.82578,-0.184872,-0.00223036,0.301885
29387,-0.943145,-0.104904,1.12727,1.09652,0.117288,-0.0413182,0.504269,0.993585,-0.0611114
68448,1.20159,0.187843,-0.432359,0.395812,0.745228,0.0398472,-0.0965851,0.171002,-0.769003
31260,1.65946,0.719918,-1.23855,-0.238893,0.410289,-1.18713,-0.018193,0.753377,-0.831496
28720,1.49338,-0.206715,-0.976051,-1.10942,0.210523,-0.691908,0.226261,0.210655,0.0730796
822,0.573824,0.187315,-0.434505,0.417399,-0.0266617,0.457268,-0.148532,0.309467,-0.38937
18602,1.39367,-0.202875,-1.0594,-0.347547,-0.0896466,-1.13783,0.0996207,0.692802,-0.468059
36218,0.722985,0.63767,-0.526226,0.041998,0.899582,0.456777,0.228767,1.10166,-0.816436
35677,1.62084,-0.0219155,-1.09151,-0.476316,0.255729,-0.844889,-0.579934,0.663111,-0.365249
30549,0.858287,0.0485695,-0.0646026,0.465425,0.54866,0.2995,-0.218907,0.0871073,-0.843085
2651,1.37955,-0.178501,-0.728304,-0.282,-0.210395,-0.643874,0.118832,0.327391,-0.615557
3076,1.84287,0.133722,-1.11742,-0.270643,-0.356415,-1.24916,-0.172671,0.691348,-1.12895
17133,1.32155,-0.840334,0.0517297,-0.293174,0.171105,0.103919,-0.149958,0.776736,-0.262974
14996,0.749917,-0.0497187,-0.273427,0.366036,0.315343,0.765817,-0.0912999,0.538122,-0.523916
9609,1.11028,-0.30927,0.243004,-0.689729,0.832835,-0.943099,0.436252,-0.369322,0.576102
15987,0.513887,-0.306211,1.01046,0.334953,1.27055,-1.12069,-0.602453,-0.0323534,0.370129
